,country,language,gender,hasAndroidApp,hasIosApp,daysSinceLastLogin,productsListed,productsSold,productsPassRate,productsWished,productsBought,socialProductsLiked,socialNbFollowers,socialNbFollows,OS
83658,Etats-Unis,en,F,False,False,693,0,0,0.0,1,0,1,3,8,Browser
83665,Royaume-Uni,en,M,False,True,280,0,0,0.0,0,0,3,3,8,iOS
83666,Etats-Unis,en,M,False,False,671,0,0,0.0,62,0,6,5,8,Browser
83671,Danemark,en,F,False,False,686,0,0,0.0,1,1,0,3,8,Browser
83674,Etats-Unis,en,F,False,False,406,0,0,0.0,1,0,1,3,8,Browser
83681,Royaume-Uni,en,F,False,False,11,0,0,0.0,115,1,43,3,8,Browser
83703,Royaume-Uni,en,F,False,True,17,0,0,0.0,12,2,144,4,8,iOS
83706,Japon,en,M,False,False,111,0,0,0.0,6,0,7,3,8,Browser
83708,Etats-Unis,en,F,False,False,610,0,0,0.0,0,0,1,3,8,Browser
83709,Danemark,en,F,False,True,671,0,0,0.0,0,0,1,3,8,iOS
83712,Pays-Bas,en,F,False,False,693,0,0,0.0,2,0,0,3,8,Browser
83722,Etats-Unis,en,F,False,False,11,0,0,0.0,0,1,2,3,8,Browser
83725,Etats-Unis,en,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83732,Royaume-Uni,en,F,False,False,25,0,0,0.0,0,1,10,3,8,Browser
83747,France,fr,F,False,False,611,0,0,0.0,3,1,3,3,8,Browser
83748,Etats-Unis,es,F,False,True,437,0,0,0.0,6,0,1,3,8,iOS
83754,France,fr,F,False,True,35,0,0,0.0,0,0,1,3,8,iOS
83755,Etats-Unis,en,M,False,True,18,0,0,0.0,0,1,0,5,8,iOS
83762,France,fr,F,False,False,693,0,0,0.0,0,0,2,3,8,Browser
83766,Royaume-Uni,en,F,False,False,473,0,0,0.0,1,0,0,3,8,Browser
83770,Danemark,en,F,False,False,169,0,0,0.0,23,0,5,3,8,Browser
83772,Belgique,fr,F,False,False,11,0,0,0.0,27,0,5,3,8,Browser
83773,Royaume-Uni,en,F,False,False,598,0,0,0.0,0,0,1,3,8,Browser
83779,Etats-Unis,en,F,False,False,665,0,0,0.0,0,0,1,3,8,Browser
83780,Pays-Bas,en,F,False,True,333,0,0,0.0,1,0,7,3,8,iOS
83786,Allemagne,de,M,False,True,359,0,1,0.0,5,0,0,5,11,iOS
83791,France,fr,F,False,True,477,0,0,0.0,0,0,10,3,8,iOS
83795,Hong Kong,en,F,False,False,693,0,0,0.0,2,0,0,3,8,Browser
83796,Espagne,es,M,False,True,40,0,0,0.0,0,0,2,3,8,iOS
83809,Etats-Unis,en,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83822,Etats-Unis,en,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83823,Danemark,en,F,False,False,33,0,0,0.0,0,1,69,5,8,Browser
83825,Royaume-Uni,en,F,False,False,404,0,0,0.0,16,1,0,3,8,Browser
83827,Etats-Unis,en,F,False,False,693,0,0,0.0,14,0,3,3,8,Browser
83830,République tchèque,en,M,False,False,693,0,0,0.0,0,1,1,4,8,Browser
83832,Etats-Unis,en,F,False,False,22,25,125,100.0,0,0,0,167,8,Browser
83840,Royaume-Uni,en,M,True,False,262,0,0,0.0,0,1,4,3,9,Android
83853,Etats-Unis,en,F,False,False,441,0,0,0.0,0,0,2,3,8,Browser
83854,Allemagne,de,F,False,False,294,0,0,0.0,2,2,0,3,8,Browser
83860,Espagne,es,F,True,False,48,0,0,0.0,0,0,12,9,8,Android
83866,Royaume-Uni,en,F,False,True,241,7,0,0.0,0,0,0,6,8,iOS
83868,Danemark,en,F,False,True,42,0,0,0.0,0,6,3,7,8,iOS
83874,Suède,en,F,False,False,155,0,0,0.0,0,0,43,3,8,Browser
83879,Royaume-Uni,en,F,True,False,626,0,0,0.0,5,0,2,3,8,Android
83881,Hong Kong,en,F,False,False,582,0,0,0.0,8,0,0,3,8,Browser
83889,France,fr,F,False,False,693,0,0,0.0,0,1,0,3,8,Browser
83911,Royaume-Uni,en,F,False,True,71,2,1,0.0,0,0,1,3,8,iOS
83924,Hong Kong,en,M,True,False,681,0,0,0.0,0,0,1,3,8,Android
83927,Danemark,en,F,False,False,16,0,0,0.0,1,0,28,3,8,Browser
83935,France,fr,M,False,False,687,0,0,0.0,1,1,0,3,8,Browser
83936,France,fr,F,False,False,15,2,0,0.0,0,0,0,5,8,Browser
83938,Canada,en,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83946,Italie,it,F,False,False,174,0,0,0.0,6,0,5,3,9,Browser
83947,Belgique,en,F,True,False,11,0,0,0.0,0,15,1,5,8,Android
83953,Etats-Unis,en,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83957,Etats-Unis,en,M,False,False,151,0,0,0.0,6,2,0,3,8,Browser
83958,Finlande,en,M,False,True,23,0,0,0.0,19,1,10,3,8,iOS
83959,Etats-Unis,en,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
83974,France,fr,F,False,True,391,0,0,0.0,0,0,2,3,8,iOS
83980,Hong Kong,en,F,False,False,693,0,0,0.0,1,0,0,3,8,Browser
83984,Espagne,es,F,True,False,333,3,0,0.0,1,0,5,10,8,Android
83985,Allemagne,de,M,False,True,19,0,0,0.0,2,0,0,3,8,iOS
83989,France,fr,M,False,True,11,13,6,57.0,1,9,6,6,11,iOS
83992,Allemagne,de,F,False,False,693,0,0,0.0,0,0,3,3,8,Browser
83998,Royaume-Uni,en,F,False,False,693,0,0,0.0,0,0,1,3,8,Browser
84003,Espagne,es,F,False,False,651,0,0,0.0,0,1,0,3,9,Browser
84009,Etats-Unis,en,F,False,False,298,0,0,0.0,1,0,8,3,8,Browser
84011,Espagne,es,F,True,False,693,0,0,0.0,0,0,1,3,8,Android
84013,Etats-Unis,en,F,False,False,28,0,0,0.0,10,0,5,3,8,Browser
84015,France,fr,M,False,False,413,0,0,0.0,1,0,0,3,8,Browser
84019,France,fr,F,False,False,568,0,0,0.0,4,0,0,3,8,Browser
84022,France,fr,F,False,True,46,0,0,0.0,0,0,4,3,8,iOS
84025,Danemark,en,M,False,True,18,0,0,0.0,1,0,3,3,8,iOS
